sector,market_cap_range,environmental_score,social_score,governance_score,overall_esg,data_source
Banking,Large,55,68,72,65,SEBI BRSR Average 2024
Banking,Mid,48,62,65,58,SEBI BRSR Average 2024
Banking,Small,42,55,58,52,Industry Estimate
Financial Services,Large,52,65,70,62,SEBI BRSR Average 2024
Financial Services,Mid,45,58,63,55,Industry Estimate
Financial Services,Small,38,50,55,48,Industry Estimate
IT Services,Large,68,72,75,72,SEBI BRSR Average 2024
IT Services,Mid,62,65,68,65,Industry Estimate
IT Services,Small,55,58,60,58,Industry Estimate
Pharmaceuticals,Large,58,70,68,65,SEBI BRSR Average 2024
Pharmaceuticals,Mid,52,63,62,59,Industry Estimate
Pharmaceuticals,Small,45,55,55,52,Industry Estimate
Oil & Gas,Large,62,58,65,62,SEBI BRSR Average 2024
Oil & Gas,Mid,55,52,58,55,Industry Estimate
Oil & Gas,Small,48,45,50,48,Industry Estimate
Automobiles,Large,65,68,70,68,SEBI BRSR Average 2024
Automobiles,Mid,58,60,63,60,Industry Estimate
Automobiles,Small,50,52,55,52,Industry Estimate
FMCG,Large,60,72,75,69,SEBI BRSR Average 2024
FMCG,Mid,54,65,68,62,Industry Estimate
FMCG,Small,48,58,60,55,Industry Estimate
Infrastructure,Large,58,62,60,60,SEBI BRSR Average 2024
Infrastructure,Mid,52,55,54,54,Industry Estimate
Infrastructure,Small,45,48,48,47,Industry Estimate
Metals & Mining,Large,55,58,62,58,SEBI BRSR Average 2024
Metals & Mining,Mid,48,52,55,52,Industry Estimate
Metals & Mining,Small,42,45,48,45,Industry Estimate
Power,Large,68,60,65,64,SEBI BRSR Average 2024
Power,Mid,60,54,58,57,Industry Estimate
Power,Small,52,48,50,50,Industry Estimate
Telecom,Large,65,70,72,69,SEBI BRSR Average 2024
Telecom,Mid,58,62,65,62,Industry Estimate
Telecom,Small,50,55,58,54,Industry Estimate
Cement,Large,62,65,68,65,SEBI BRSR Average 2024
Cement,Mid,55,58,60,58,Industry Estimate
Cement,Small,48,50,52,50,Industry Estimate
Textiles,Large,45,55,58,53,SEBI BRSR Average 2024
Textiles,Mid,38,48,50,45,Industry Estimate
Textiles,Small,32,40,42,38,Industry Estimate
Consumer Durables,Large,58,68,70,65,SEBI BRSR Average 2024
Consumer Durables,Mid,52,60,63,58,Industry Estimate
Consumer Durables,Small,45,52,55,51,Industry Estimate
Real Estate,Large,48,58,62,56,SEBI BRSR Average 2024
Real Estate,Mid,42,50,55,49,Industry Estimate
Real Estate,Small,35,42,45,41,Industry Estimate
Media & Entertainment,Large,55,65,68,63,SEBI BRSR Average 2024
Media & Entertainment,Mid,48,58,60,55,Industry Estimate
Media & Entertainment,Small,42,50,52,48,Industry Estimate
Chemicals,Large,60,62,65,62,SEBI BRSR Average 2024
Chemicals,Mid,54,55,58,56,Industry Estimate
Chemicals,Small,48,48,50,49,Industry Estimate
Retail,Large,52,68,70,63,SEBI BRSR Average 2024
Retail,Mid,45,60,62,56,Industry Estimate
Retail,Small,38,52,54,48,Industry Estimate
Other,Large,55,60,65,60,General Estimate
Other,Mid,48,52,58,53,General Estimate
Other,Small,42,45,50,46,General Estimate
